"Designator","Qty","PartNumber","Package","Value","Side","Manufacturer","Supplier","Supplier SKU","Product URL","Availability","Checked Date","Notes"
"C2","1","CL10B225KP8NNNC","Observed_C2","2.2uF 10V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C100082","https://www.lcsc.com/product-detail/C100082.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 20; reel 4,000. Exact Samsung MPN."
"C3","1","CL10B104KB8NNNC","Observed_C3","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C4","1","CL10B225KP8NNNC","Observed_C4","2.2uF 10V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C100082","https://www.lcsc.com/product-detail/C100082.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 20; reel 4,000. Exact Samsung MPN."
"C5","1","CL10B104KB8NNNC","Observed_C5","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C6","1","CL10B104KB8NNNC","Observed_C6","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C7","1","CL10B104KB8NNNC","Observed_C7","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C8","1","CL10B104KB8NNNC","Observed_C8","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C9","1","CL10B104KB8NNNC","Observed_C9","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C10","1","CL10B104KB8NNNC","Observed_C10","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C11","1","CL10B104KB8NNNC","Observed_C11","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C12","1","CL10C150JB8NNNC","Observed_C12","15pF 50V C0G 5%","Top","Samsung Electro-Mechanics","DigiKey","1276-1296-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C150JB8NNNC/3886954","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 1276-1296-2-ND."
"C13","1","CL10C150JB8NNNC","Observed_C13","15pF 50V C0G 5%","Top","Samsung Electro-Mechanics","DigiKey","1276-1296-1-ND","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C150JB8NNNC/3886954","In stock on supplier page; confirm at quote","2026-09-23","Cut tape; full-reel code 1276-1296-2-ND."
"C14","1","CL10B104KB8NNNC","Observed_C14","100nF 50V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C1591","https://www.lcsc.com/product-detail/C1591.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 100; reel 4,000. Exact Samsung MPN."
"C15","1","CL10B225KP8NNNC","Observed_C15","2.2uF 10V X7R 10%","Top","Samsung Electro-Mechanics","LCSC","C100082","https://www.lcsc.com/product-detail/C100082.html","In stock on supplier page; confirm at quote","2026-09-23","MOQ/multiple 20; reel 4,000. Exact Samsung MPN."
