Ref,Val,Package,PosX,PosY,Rot,Side
J_LPC,LPC 2x8 underside,Observed_J_LPC,30.700000,-3.100000,180.000000,bottom
C2,2.2uF 10V X7R 10%,Observed_C2,16.850000,-19.900000,90.000000,top
C3,100nF 50V X7R 10%,Observed_C3,20.100000,-19.850000,90.000000,top
C4,2.2uF 10V X7R 10%,Observed_C4,15.750000,-19.900000,90.000000,top
C5,100nF 50V X7R 10%,Observed_C5,14.350000,-14.150000,90.000000,top
C6,100nF 50V X7R 10%,Observed_C6,23.400000,-18.400000,90.000000,top
C7,100nF 50V X7R 10%,Observed_C7,24.300000,-13.100000,0.000000,top
C8,100nF 50V X7R 10%,Observed_C8,17.950000,-19.900000,90.000000,top
C9,100nF 50V X7R 10%,Observed_C9,19.300000,-8.800000,90.000000,top
C10,100nF 50V X7R 10%,Observed_C10,19.050000,-19.900000,90.000000,top
C11,100nF 50V X7R 10%,Observed_C11,14.650000,-19.900000,90.000000,top
C12,15pF 50V C0G 5%,Observed_C12,21.500000,-8.750000,0.000000,top
C13,15pF 50V C0G 5%,Observed_C13,21.500000,-7.600000,0.000000,top
C14,100nF 50V X7R 10%,Observed_C14,16.900000,-24.750000,90.000000,top
C15,2.2uF 10V X7R 10%,Observed_C15,15.650000,-24.750000,90.000000,top
C16,100nF 50V X7R 10%,Observed_C16,11.000000,-8.650000,90.000000,top
C19,1uF 25V X7R 10%,Observed_C19,26.200000,-29.450000,90.000000,top
C22,1uF 25V X7R 10%,Observed_C22,30.850000,-24.050000,0.000000,top
C23,1uF 25V X7R 10%,Observed_C23,32.250000,-34.350000,-90.000000,top
D1,BAT54C dual Schottky common cathode,Observed_D1,30.150000,-26.850000,90.000000,top
IC1,1.6-5.5 V load switch,Observed_IC1,34.550000,-26.400000,90.000000,top
J_D0,D0,Observed_J_D0,3.150000,-26.150000,-90.000000,top
J_EXP,EXP,Observed_J_EXP,3.150000,-12.800000,-90.000000,top
J_HDD,HDD,Observed_J_HDD,3.100000,-19.750000,-90.000000,top
J_LCD,LCD,Observed_J_LCD,12.050000,-33.350000,0.000000,top
J_RGB,RGB,Observed_J_RGB,3.200000,-5.850000,-90.000000,top
J_UART,UART,Observed_J_UART,3.050000,-32.600000,-90.000000,top
J_USB,USB-C,Observed_J_USB,14.200000,-2.750000,180.000000,top
J_XB,XB,Observed_J_XB,20.200000,-33.400000,0.000000,top
LED1,"3535 addressable RGB, 12 mA/color",Observed_LED1,28.050000,-33.000000,0.000000,top
LED2,Blue indicator LED 0603,Observed_LED2,10.850000,-20.100000,45.000000,top
P_N1,1uF 25V X7R 10%,Observed_P_N1,16.850000,-8.800000,90.000000,top
P_N2,100nF 50V X7R 10%,Observed_P_N2,18.050000,-8.800000,90.000000,top
R1,1k 1% 0.1W,Observed_R1,9.700000,-18.950000,45.000000,top
R2,470 1% 0.1W,Observed_R2,13.550000,-22.950000,0.000000,top
R3,470 1% 0.1W,Observed_R3,7.700000,-24.100000,0.000000,top
R4,5.1k 1% 0.1W,Observed_R4,15.650000,-8.500000,90.000000,top
R5,1k 1% 0.1W,Observed_R5,21.500000,-9.750000,0.000000,top
R6,330 1% 0.1W,Observed_R6,29.000000,-29.800000,0.000000,top
R7,27R 1% 0.1W,Observed_R7,14.500000,-8.500000,90.000000,top
R8,27R 1% 0.1W,Observed_R8,13.400000,-8.550000,90.000000,top
R9,4.7k 1% 0.1W,Observed_R9,7.700000,-22.850000,0.000000,top
R10,5.1k 1% 0.1W,Observed_R10,12.200000,-8.550000,90.000000,top
R11,4.7k 1% 0.1W,Observed_R11,13.550000,-24.150000,0.000000,top
RN,4x100R,Observed_RN,25.200000,-15.950000,0.000000,top
SW_BOOT,BOOT / ST-1185S,Observed_SW_BOOT,10.150000,-14.050000,-90.000000,top
U1,RP2040,Observed_U1,19.000000,-14.200000,180.000000,top
U2,W25Q128JVSIQ,Observed_U2,22.500000,-24.800000,180.000000,top
U_ACT,Dual PNP activity driver,Observed_U_ACT,10.750000,-23.550000,0.000000,top
VREG,3.3 V enabled LDO,Observed_VREG,33.700000,-30.950000,180.000000,top
Y1,12MHz,Observed_Y1,25.500000,-9.500000,90.000000,top
